user_id,degs,deg_adj,ego,CC,CC_adj,ego_out,ego_adj
us416151,2,5.0,0,0.0,0.107142857143,10,9
us319776,1,3.0,0,0.0,0.0,3,3
us554007,1,12.0,0,0.0,0.0151515151515,12,12
us98867,1,79.0,0,0.0,0.0717299578059,79,79
us165845,1,35.0,0,0.0,0.236974789916,35,35
us238848,1,99.0,0,0.0,0.0750360750361,99,99
us210242,114,48.6403508772,427,0.0662940537184,0.164210411941,4691,2443
us210741,1,1.0,0,0.0,0.0,1,1
us312580,2,12.0,0,0.0,0.229254079254,24,21
us376336,1,3.0,0,0.0,0.0,3,3
us316337,1,2.0,0,0.0,0.0,2,2
us175975,2,518.5,1,1.0,0.0427417315596,1035,1020
us250695,1,1.0,0,0.0,0.0,1,1
us203796,1,1.0,0,0.0,0.0,1,1
us235725,4,84.0,2,0.333333333333,0.128786501773,332,295
us205426,1,114.0,0,0.0,0.0662940537184,114,114
us299480,4,46.0,0,0.0,0.115533652172,184,175
us202874,8,44.625,3,0.107142857143,0.0488589398915,351,300
us181869,1,2.0,0,0.0,0.0,2,2
us588309,2,78.5,1,1.0,0.11531684746,155,153
us339441,1,29.0,0,0.0,0.133004926108,29,29
us758087,12,24.0,0,0.0,0.0727286158012,288,254
us245002,3,17.6666666667,0,0.0,0.0815225424982,53,51
us708182,2,48.5,1,1.0,0.0870573870574,95,93
us245422,1,101.0,0,0.0,0.0613861386139,101,101
us712357,1,12.0,0,0.0,0.121212121212,12,12
us163920,2,3.0,0,0.0,0.0,6,5
us649058,5,104.8,3,0.3,0.104790260423,518,413
us621671,2,16.5,1,1.0,0.244852941176,31,26
us4113,6,62.6666666667,3,0.2,0.0368217772046,370,328
us429342,13,197.769230769,16,0.205128205128,0.117044493684,2539,1845
us475083,10,182.7,12,0.266666666667,0.0994566189447,1803,1394
us298272,1,9.0,0,0.0,0.111111111111,9,9
us217342,1,52.0,0,0.0,0.300904977376,52,52
us375153,1,12.0,0,0.0,0.212121212121,12,12
us72056,17,152.058823529,27,0.198529411765,0.112596113785,2531,1829
us641873,4,16.25,0,0.0,0.0462284482759,65,60
us335296,2,3.0,0,0.0,0.0,6,5
us61629,1,1.0,0,0.0,0.0,1,1
us587819,3,111.0,0,0.0,0.0421624394591,333,309
us43946,1,6.0,0,0.0,0.333333333333,6,6
us315,1,9.0,0,0.0,0.111111111111,9,9
us733730,4,93.0,3,0.5,0.313417939962,366,333
us285215,2,3.5,0,0.0,0.133333333333,7,6
us154930,1,998.0,0,0.0,0.0126089691921,998,998
us556257,1,635.0,0,0.0,0.025504856057,635,635
us48299,4,2.25,0,0.0,0.0333333333333,9,6
us267890,9,61.1111111111,4,0.111111111111,0.100500313859,542,451
us360658,2,41.5,0,0.0,0.0924756615933,83,79
us698195,2,150.0,1,1.0,0.0725318796258,298,269
us770396,2,4.5,0,0.0,0.178571428571,9,8
us289814,1,148.0,0,0.0,0.0583747012318,148,148
us308503,1,65.0,0,0.0,0.118269230769,65,65
us603573,1,375.0,0,0.0,0.0323707664884,375,375
us538060,1,190.0,0,0.0,0.0519075466444,190,190
us734934,2,1.5,0,0.0,0.0,3,2
us456780,1,78.0,0,0.0,0.178821178821,78,78
us605488,8,80.0,4,0.142857142857,0.0757383095583,632,537
us538387,2,350.0,1,1.0,0.0661178126439,698,666
us455235,1,373.0,0,0.0,0.034737236588,373,373
us220,4,21.0,6,1.0,0.37029515462,72,46
us223897,2,16.5,0,0.0,0.226436781609,33,31
us57150,1,16.0,0,0.0,0.1,16,16
us289643,1,39.0,0,0.0,0.0944669365722,39,39
us382387,1,79.0,0,0.0,0.0688088283025,79,79
us411497,1,17.0,0,0.0,0.147058823529,17,17
us194625,1,1.0,0,0.0,0.0,1,1
us407843,1,447.0,0,0.0,0.0384426319961,447,447
us133481,1,37.0,0,0.0,0.0990990990991,37,37
us608577,4,115.0,3,0.5,0.0437359594241,454,426
us445478,1,24.0,0,0.0,0.144927536232,24,24
us221941,3,51.3333333333,0,0.0,0.0688822996458,154,149
us62494,1,372.0,0,0.0,0.0191867373852,372,372
us13247,2,1.5,0,0.0,0.0,3,2
us30690,1,3.0,0,0.0,0.0,3,3
us243374,4,45.5,0,0.0,0.0645186354864,182,174
us633191,1,2.0,0,0.0,0.0,2,2
us247338,1,11.0,0,0.0,0.0909090909091,11,11
us447284,7,13.8571428571,12,0.571428571429,0.309934362761,73,39
us496957,1,635.0,0,0.0,0.025504856057,635,635
us249836,2,2.5,0,0.0,0.0,5,4
us764922,2,14.0,1,1.0,0.0923913043478,26,25
us271520,2,15.0,1,1.0,0.208205128205,28,26
us317408,6,96.8333333333,2,0.133333333333,0.0483109109127,577,485
us723172,2,49.0,0,0.0,0.071671773919,98,97
us185183,22,97.0,19,0.0822510822511,0.121483018105,2096,1484
us473230,4,40.0,3,0.5,0.160183383507,154,131
us781899,1,4.0,0,0.0,0.0,4,4
us332454,1,1.0,0,0.0,0.0,1,1
us136204,1,22.0,0,0.0,0.255411255411,22,22
us210472,1,1.0,0,0.0,0.0,1,1
us345056,2,34.5,0,0.0,0.0675990675991,69,68
us627516,1,79.0,0,0.0,0.0084388185654,79,79
us163444,8,60.625,4,0.142857142857,0.0919769886685,477,411
us304670,9,49.8888888889,2,0.0555555555556,0.062386832866,445,379
us136705,1,3.0,0,0.0,0.0,3,3
us33545,1,22.0,0,0.0,0.225108225108,22,22
us556352,1,18.0,0,0.0,0.150326797386,18,18
us718651,1,14.0,0,0.0,0.0769230769231,14,14
us587413,1,7.0,0,0.0,0.142857142857,7,7
us70758,11,60.9090909091,3,0.0545454545455,0.103409007001,664,521
us45183,27,30.7777777778,15,0.042735042735,0.0582823180594,801,572
us600302,16,77.75,21,0.175,0.134385676204,1202,891
us249681,28,137.464285714,85,0.224867724868,0.0780192205645,3679,2046
us430363,3,186.333333333,3,1.0,0.197970393005,553,531
us316530,3,198.333333333,2,0.666666666667,0.0471618202465,591,529
us731341,3,7.0,0,0.0,0.0196078431373,21,19
us194237,1,9.0,0,0.0,0.194444444444,9,9
us723884,10,55.1,12,0.266666666667,0.1386882119,527,374
us72417,22,62.9545454545,54,0.233766233766,0.196497327637,1277,747
us70074,1,1.0,0,0.0,0.0,1,1
us94400,1,10.0,0,0.0,0.222222222222,10,10
us782384,4,87.5,1,0.166666666667,0.0683908592503,348,308
us188692,1,4.0,0,0.0,0.166666666667,4,4
us93704,1,10.0,0,0.0,0.177777777778,10,10
us278996,2,8.0,0,0.0,0.052380952381,16,15
us534,1,1.0,0,0.0,0.0,1,1
us67398,2,188.0,1,1.0,0.176260035359,374,372
us686027,1,2.0,0,0.0,0.0,2,2
us220441,17,50.5882352941,17,0.125,0.134854173144,826,555
us298797,2,1.5,0,0.0,0.0,3,2
us355619,5,21.0,0,0.0,0.0795015479876,105,97
us82943,1,55.0,0,0.0,0.0794612794613,55,55
us674139,1,213.0,0,0.0,0.0296749047746,213,213
us219281,26,48.7692307692,40,0.123076923077,0.15594244106,1188,760
us329932,1,88.0,0,0.0,0.103187042842,88,88
us356986,4,103.25,1,0.166666666667,0.0616333242129,411,370
us486637,18,65.2777777778,26,0.169934640523,0.112371520271,1123,767
us270888,1,23.0,0,0.0,0.0632411067194,23,23
us713419,2,8.5,0,0.0,0.143939393939,17,16
us598503,2,246.5,1,1.0,0.0810530463583,491,482
us356577,1,3.0,0,0.0,0.0,3,3
us157232,1,9.0,0,0.0,0.0833333333333,9,9
us254150,1,1.0,0,0.0,0.0,1,1
us759725,8,47.875,6,0.214285714286,0.192275255244,371,324
us391782,1,45.0,0,0.0,0.133333333333,45,45
us206688,1,99.0,0,0.0,0.0836940836941,99,99
us195984,4,119.5,3,0.5,0.130040943356,472,413
us392498,1,31.0,0,0.0,0.191397849462,31,31
us99219,8,6.875,9,0.321428571429,0.393978937729,37,25
us655316,2,3.0,0,0.0,0.05,6,5
us725365,1,6.0,0,0.0,0.266666666667,6,6
us451409,1,20.0,0,0.0,0.3,20,20
us1168,1,2.0,0,0.0,0.0,2,2
us266726,1,373.0,0,0.0,0.034737236588,373,373
us34648,2,90.5,1,1.0,0.0757473487811,179,167
us388624,4,61.5,0,0.0,0.0743697228978,246,232
us673673,3,85.0,1,0.333333333333,0.0647997011619,253,239
us730957,1,2.0,0,0.0,0.0,2,2
us195762,2,88.5,0,0.0,0.11145388223,177,168
us4751,2,3.5,0,0.0,0.0,7,6
us362056,2,140.0,1,1.0,0.0946803917336,278,269
us234577,2,12.0,0,0.0,0.098814229249,24,23
us262564,4,6.0,1,0.166666666667,0.361201298701,22,19
us262531,6,78.8333333333,3,0.2,0.0871381394158,467,407
us796048,5,29.6,4,0.4,0.269244639419,140,116
us732866,1,26.0,0,0.0,0.0769230769231,26,26
us433009,18,159.111111111,34,0.222222222222,0.16069341272,2796,1992
us613698,3,7.33333333333,0,0.0,0.0888888888889,22,19
us26227,1,1.0,0,0.0,0.0,1,1
us47595,1,108.0,0,0.0,0.0529595015576,108,108
us512833,1,635.0,0,0.0,0.025504856057,635,635
us292406,4,47.5,0,0.0,0.0444955964888,190,175
us786122,1,59.0,0,0.0,0.073056691993,59,59
us151598,1,7.0,0,0.0,0.0,7,7
us469429,2,516.0,0,0.0,0.14890698014,1032,1005
us749685,1,93.0,0,0.0,0.157550257129,93,93
us214915,1,45.0,0,0.0,0.108080808081,45,45
us102670,3,53.3333333333,1,0.333333333333,0.120983073364,158,138
us93664,1,183.0,0,0.0,0.0512820512821,183,183
us537795,1,11.0,0,0.0,0.0363636363636,11,11
us223220,3,33.6666666667,0,0.0,0.0251461988304,101,97
us294349,19,64.7894736842,38,0.222222222222,0.23198530612,1155,802
us181190,3,8.33333333333,3,1.0,0.322222222222,19,16
us353178,4,24.0,0,0.0,0.0605939716312,96,85
us449546,2,13.0,1,1.0,0.120779220779,24,19
us559379,4,83.75,1,0.166666666667,0.0714463105249,333,303
us316353,1,85.0,0,0.0,0.0268907563025,85,85
us390450,3,19.0,1,0.333333333333,0.190236200581,55,49
us492299,3,368.333333333,1,0.333333333333,0.0198019401895,1103,927
us294700,2,84.5,0,0.0,0.0773599262952,169,165
us445307,15,152.466666667,14,0.133333333333,0.0810413563286,2259,1609
us195792,13,26.9230769231,6,0.0769230769231,0.244026381382,338,294
us367640,5,55.0,1,0.1,0.0631876568176,273,250
us196705,1,114.0,0,0.0,0.0498369818351,114,114
us509444,10,21.2,1,0.0222222222222,0.176810438802,210,191
us24232,1,28.0,0,0.0,0.0449735449735,28,28
