"question_id","subject_id","content"
"us566","us15","what type of rock is the Haystack rock (igneous, Metamorphic, or Sedimentary)<u></u><u></u><u></u> "
"us572","us15","whats the difference between mass and weight ?"
"us1090","us15","What is Newton's second law ??"
"us2250","us15","Plz help :( I need the answer today :( thx if u help"
"us2342","us15","how does the tilt of earth effect the path of the sun in new york<br /><br />"
"us3088","us15","Where are most faults located? And what is a fault in science terms?<br />"
"us3249","us15","What are two ways to change velocity?"
"us3443","us15","What are the three newton's laws? "
"us3800","us15","how would your weight change on the surface of an earth sized planet whose mass was greater than earths? why?"
"us4132","us15","How does height impact potential energy"
"us5365","us15","What is rock that forms when melted, or molten, rock from Earth's mantle cools and hardens is called what? pleas answer as soon as possible "
"us5764","us15","<p>Q: What happens when cold air approaches a body of warm air? </p> <p> </p> <p> Optional Answers:</p> <p> </p> <p>   A. The Warm air rises.</p> <p> </p> <p>  B. The warm and cold air both disappear.</p> <p>  </p> <p>  C. The warm and cold air mix immediately.</p> <p> </p> <p>  D. The cold air rises. </p>"
"us5777","us15","Q: Through which of the following ways can heat be transferred?<br /><br /> Optional Answer:<br /><br />  A.  By direct or indirect contact between objects at different temperatures.<br />  B.  Only by direct contact between objects at different temperatures.<br />  C.  Only by indirect contact between objects at different temperatures.<br />  D.  Heat can never be transferred between objects."
"us5792","us15","Q: The picture above shows a frying pan. Why are frying pans usually made out of metal? <br /><br /> Optional Answer:<br /> A. Because metal is a good conductor of heat.<br /> B. Because metal is a poor conductor of electricity.<br /> C. Because metal is  a good conductor of electricity.<br /> D.  Because metal is  a poor conductor of heat.<br /> <br /><br />"
"us6398","us15","What is the mantle made of?<br />"
"us6489","us15","In which of the following unitsis acceleration expressed A. Newton C. foot-pound C.kilogram D. meters per square secondAsk your question here"
"us6631","us15","What is unbalanced force?"
"us6704","us15","what are the three forms of matter?"
"us6996","us15","If the speed of an object is tripled, its kinetic energy will be<br />"
"us7488","us15","How is lightning created"
"us7604","us15","as the earth rotates, does every location on earth move? which locations on Earth don't move?"
"us9087","us15","What does it mean to say that an object has internal Energy?"
"us9092","us15","What is the difference between two beakers of water if one hot and one is cold"
"us9790","us15","Gravity and friction are two kinds of<br />a.inertia<br />b.forces<br />c.masses<br /><span>d.gravity</span><br />"
"us11131","us15","How many squares for three traits?"
"us11159","us15","<p>the frequency of vibration of an oscilation is four hertz. if it makes 12 vibrations in T second calculate the value of T</p>"
"us11226","us15","<p>which of these travel faster than other light or sound?</p>"
"us11478","us15","what is the role of friction? how does it increase or decrease "
"us11842","us15","Can this application help me with AP Physics C?"
"us11868","us15","How do you describe motion "
"us11902","us15","what organ absorbs excess water from undigested food prior to its release from the body as a solid waste"
"us13917","us15","A 1200 kg automobile is traveling at a velocity of 100 m/s is its energy potential or kinetic? How much energy does it possess? "
"us14637","us15","How much time would it take for an airplane to reach its destination if it traveled at an average speed of <br /> 790 kilometers/hour for a distance of 4,700 kilometers? What is the airplane’s speed in miles/ hour?"
"us15206","us15","An example of the transformation of energy is:<br /> a.Energy changing from potential to kinetic.<br /> b.Energy changing from radiant to electrical.<br /> c.Energy changing from chemical to thermal.<br /> d. All of the above."
"us16369","us15","Which form of energy does a plant store when light is transformed during photosynthesis?<br /> a. chemical energy<br /> b. thermal energy<br /> c. mechanical energy<br /> d. electrical energy"
"us16457","us15","A force of 100 newtons is used to move an object a distance of 15 meters with a power of 25 watts. Find the<br /> work done and the time it takes to do the work."
"us16555","us15","A block of mass 3 kg slides down an inclined plane of length 6 m and height 4 m. If the force of friction on the block is a constant 16 N as it slides from rest at the top of the incline, what is its speed at the bottom?"
"us16632","us15","A compact disc has a radius of 6 centimeters.<br /> a. What is its circumference in meters?<br /> b. If the cd rotates 4 times per second, what is the linear speed of a point on the outer edge of the cd? Give<br /> your answer in meters per second.<br /> c. What is the linear speed of a point 3 centimeters from the center of the cd? (Assume the angular speed<br /> has not changed)."
"us16654","us15","A 72-tooth gear is connected to a 12-tooth gear. If the large gear makes one complete turn, how many turns<br /> does the small gear make?"
"us17107","us15","What are Newton's 3 Laws and what do they mean? "
"us17207","us15","Energy conversion for a moving car"
"us18095","us15","If the potential energy and the kinetic energy are not the same, where did the leftover energy go?"
"us18132","us15","Which has more Potential Energy a car parked on the top of the hill,a person on the top of the same hill sitting down eating a sandwich, or a man running fast at the bottom of the same hill?"
"us18554","us15","Explain why sedimentary rocks are found as a veneer covering large areas of the continental igneous rocks"
"us18807","us15","A 10 kg bowling ball would require what force to accelerate down an alleyway at a rate of 3 m/s2? <br /> F=<br /> M= <br /> A="
"us18816","us15","What is the mass of a falling rock if it produces a force of 147 n? <br /> F=<br /> M=<br /> A="
"us19070","us15","How many newtons of force are represented by the following amount: 3 kg·m/sec^2?"
"us19652","us15","What is the difference between weight and mass , and an example please ."
